date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:23	19297/19297	---MCZ	200	added ('OK')	text/html	etag:W/%224b61-5d4cb5631b893%22	https://weboas.is/	C:/My%20Web%20Sites/weboasis/weboas.is/index.html	(from )
10:36:23	899/899	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a83-5be142aecf4cf%22	https://weboas.is/robots.txt		(from )
10:36:24	19255/19255	---M-Z	200	added ('OK')	text/css	etag:W/%224b37-5c7229e303fb0%22	https://weboas.is/css/style.min.css	C:/My%20Web%20Sites/weboasis/weboas.is/css/style.min.css	(from https://weboas.is/)
10:36:25	14/14	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Jan%202022%2018:36:25%20GMT	https://icanhazip.com/	C:/My%20Web%20Sites/weboasis/icanhazip.com/index.html	(from https://weboas.is/)
10:36:25	2016/2016	---M-Z	200	added ('OK')	text/css	etag:W/%227e0-5c7229e1c4a48%22	https://weboas.is/css/perfect-scrollbar.min.css	C:/My%20Web%20Sites/weboasis/weboas.is/css/perfect-scrollbar.min.css	(from https://weboas.is/)
10:36:26	761/761	---M-Z	200	added ('OK')	text/css	etag:W/%222f9-5c7229e1db1a8%22	https://weboas.is/css/index_search_button.min.css	C:/My%20Web%20Sites/weboasis/weboas.is/css/index_search_button.min.css	(from https://weboas.is/)
10:36:26	2051/2051	---M-Z	200	added ('OK')	text/css	etag:W/%22803-5c7229e255a9c%22	https://weboas.is/css/custom-items-menu.min.css	C:/My%20Web%20Sites/weboasis/weboas.is/css/custom-items-menu.min.css	(from https://weboas.is/)
10:36:27	1436/1436	---M-Z	200	added ('OK')	text/css	etag:W/%2259c-5d4cb1e2e8913%22	https://weboas.is/alerts/toastify.min.css	C:/My%20Web%20Sites/weboasis/weboas.is/alerts/toastify.min.css	(from https://weboas.is/)
10:36:27	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-5be142af633fe%22	https://weboas.is/favicon.ico	C:/My%20Web%20Sites/weboasis/weboas.is/favicon.ico	(from https://weboas.is/)
10:36:28	804/804	---M--	200	added ('OK')	image/png	etag:%22324-5aa48509f6c21%22	https://weboas.is/favicon/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-57x57.png	(from https://weboas.is/)
10:36:28	1771/1771	---M--	200	added ('OK')	image/png	etag:%226eb-5aa48505a73c3%22	https://weboas.is/favicon/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-114x114.png	(from https://weboas.is/)
10:36:28	950/950	---M--	200	added ('OK')	image/png	etag:%223b6-5aa485073a8ee%22	https://weboas.is/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-72x72.png	(from https://weboas.is/)
10:36:29	1624/1624	---M--	200	added ('OK')	image/png	etag:%22658-5aa485084df36%22	https://weboas.is/favicon/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-144x144.png	(from https://weboas.is/)
10:36:29	795/795	---M--	200	added ('OK')	image/png	etag:%2231b-5aa485062efa7%22	https://weboas.is/favicon/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-60x60.png	(from https://weboas.is/)
10:36:29	1556/1556	---M--	200	added ('OK')	image/png	etag:%22614-5aa485049d9bc%22	https://weboas.is/favicon/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-120x120.png	(from https://weboas.is/)
10:36:30	1021/1021	---M--	200	added ('OK')	image/png	etag:%223fd-5aa48506c4e1b%22	https://weboas.is/favicon/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-76x76.png	(from https://weboas.is/)
10:36:30	1987/1987	---M--	200	added ('OK')	image/png	etag:%227c3-5aa4850a7c0f5%22	https://weboas.is/favicon/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/apple-touch-icon-152x152.png	(from https://weboas.is/)
10:36:30	3720/3720	---M--	200	added ('OK')	image/png	etag:%22e88-5aa4850973e5e%22	https://weboas.is/favicon/favicon-196x196.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/favicon-196x196.png	(from https://weboas.is/)
10:36:31	1131/1131	---M--	200	added ('OK')	image/png	etag:%2246b-5aa485093083c%22	https://weboas.is/favicon/favicon-96x96.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/favicon-96x96.png	(from https://weboas.is/)
10:36:31	411/411	---M--	200	added ('OK')	image/png	etag:%2219b-5aa48509b9b90%22	https://weboas.is/favicon/favicon-32x32.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/favicon-32x32.png	(from https://weboas.is/)
10:36:31	307/307	---M--	200	added ('OK')	image/png	etag:%22133-5aa485049936c%22	https://weboas.is/favicon/favicon-16x16.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/favicon-16x16.png	(from https://weboas.is/)
10:36:32	1005/1005	---M--	200	added ('OK')	image/png	etag:%223ed-5aa4850a3a243%22	https://weboas.is/favicon/favicon-128.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/favicon-128.png	(from https://weboas.is/)
10:36:32	1624/1624	---M--	200	added ('OK')	image/png	etag:%22658-5aa4850825e95%22	https://weboas.is/favicon/mstile-144x144.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/mstile-144x144.png	(from https://weboas.is/)
10:36:33	2489/2489	---M--	200	added ('OK')	image/png	etag:%229b9-5aa4850749b1f%22	https://weboas.is/favicon/mstile-70x70.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/mstile-70x70.png	(from https://weboas.is/)
10:36:33	5865/5865	---M--	200	added ('OK')	image/png	etag:%2216e9-5aa48508a9428%22	https://weboas.is/favicon/mstile-150x150.png	C:/My%20Web%20Sites/weboasis/weboas.is/favicon/mstile-150x150.png	(from https://weboas.is/)
